channel_id,spacecraft,train_points,test_points,metadata_num_values,length_matches_metadata,labeled_events,event_hits,event_recall,predicted_points,max_score,scale,scale_source,precision,recall,f1,true_positives,false_positives,false_negatives
P-1,SMAP,2872,8505,8505,True,3,3,1.0,338,5.215092587351623,0.30198724362448276,mad,0.0650887573964497,0.02929427430093209,0.04040404040404041,22,316,729
S-1,SMAP,2818,7331,7331,True,1,1,1.0,2011,41.64470028702519,0.03247610519413835,mad,0.14917951268025859,0.6696428571428571,0.2440016266775112,300,1711,148
E-1,SMAP,2880,8516,8516,True,2,0,0.0,0,2.4699655883309632,0.8097278801974992,std-fallback,0.0,0.0,0.0,0,0,508
E-2,SMAP,2880,8532,8532,True,1,1,1.0,174,4.129887301152511,0.3965306381636612,mad,1.0,0.12446351931330472,0.2213740458015267,174,0,1224
E-3,SMAP,2880,8307,8307,True,1,0,0.0,0,2.201689088611052,0.4933591935409094,mad,0.0,0.0,0.0,0,0,3213
E-4,SMAP,2880,8354,8354,True,1,0,0.0,3,3.6870772487896772,0.4153737668056239,mad,0.0,0.0,0.0,0,3,2812
E-5,SMAP,2880,8294,8294,True,1,0,0.0,0,2.469965588330963,0.8097278801974994,std-fallback,0.0,0.0,0.0,0,0,321
E-6,SMAP,2880,8300,8300,True,1,1,1.0,12,596.0900015495833,0.0033384220416830287,std-fallback,1.0,0.18181818181818182,0.3076923076923077,12,0,54
E-7,SMAP,2769,8310,8310,True,1,1,1.0,45,46.05416253069418,0.043427127757822974,std-fallback,0.8666666666666667,0.1387900355871886,0.2392638036809816,39,6,242
E-8,SMAP,2880,8532,8532,True,1,0,0.0,0,2.617269019430291,0.5338614134220052,mad,0.0,0.0,0.0,0,0,623
E-9,SMAP,2880,8302,8302,True,1,0,0.0,0,1.9900556824448317,0.5979258600468242,mad,0.0,0.0,0.0,0,0,351
E-10,SMAP,2880,8505,8505,True,2,0,0.0,0,2.4742609708917094,0.8083221711569138,std-fallback,0.0,0.0,0.0,0,0,322
E-11,SMAP,2880,8514,8514,True,2,0,0.0,0,2.4729751931315036,0.8087424433349932,std-fallback,0.0,0.0,0.0,0,0,295
E-12,SMAP,2880,8512,8512,True,2,0,0.0,0,2.469965588330963,0.8097278801974994,std-fallback,0.0,0.0,0.0,0,0,583
E-13,SMAP,2880,8640,8640,True,3,3,1.0,1584,19.68841871535891,0.09413029384804036,mad,0.034722222222222224,0.20833333333333334,0.05952380952380953,55,1529,209
A-1,SMAP,2880,8640,8640,True,1,1,1.0,8640,1348325500.0,1.4825796886582654e-09,epsilon-floor,0.009837962962962963,1.0,0.019484240687679084,85,8555,0
D-1,SMAP,2849,8509,8509,True,1,1,1.0,2902,22.936204275534426,0.07802075611564127,mad,1.0,0.8904571954587297,0.9420548612238273,2902,0,357
P-2,SMAP,2821,8209,8209,True,1,1,1.0,626,59.35659268335562,0.03294589364166382,mad,0.8785942492012779,0.44861337683523655,0.593952483801296,550,76,676
P-3,SMAP,2855,8493,8493,True,1,1,1.0,219,7.756815907756881,0.16472973515764675,mad,1.0,0.16392215568862276,0.28167202572347266,219,0,1117
D-2,SMAP,2880,8595,8595,True,1,1,1.0,3805,1349000000.0,1.4825796886582654e-09,epsilon-floor,1.0,0.9020862968231389,0.948522996385392,3805,0,413
D-3,SMAP,2880,8640,8640,True,1,1,1.0,3318,176.55551158661484,0.011242254011351791,mad,0.9581072935503315,0.9703907203907204,0.9642098877767667,3179,139,97
D-4,SMAP,2833,8473,8473,True,1,1,1.0,3232,156.37158333333753,0.01270782590278479,mad,1.0,0.9950738916256158,0.9975308641975309,3232,0,16
A-2,SMAP,2648,7914,7914,True,1,0,0.0,0,1.0963257374945878,0.9345665451421311,mad,0.0,0.0,0.0,0,0,111
A-3,SMAP,2736,8205,8205,True,1,0,0.0,0,1.7041367968362313,0.6471597582153672,mad,0.0,0.0,0.0,0,0,186
A-4,SMAP,2690,8080,8080,True,1,0,0.0,0,2.3552432333894493,0.42657224655624665,mad,0.0,0.0,0.0,0,0,111
