channel_id,spacecraft,train_points,test_points,metadata_num_values,length_matches_metadata,labeled_events,event_hits,event_recall,predicted_points,max_score,precision,recall,f1,true_positives,false_positives,false_negatives
G-3,SMAP,2624,7907,7907,True,1,1,1.0,2,1349000000.0,0.5,0.0196078431372549,0.03773584905660377,1,1,50
T-1,SMAP,2875,8612,8612,True,2,2,1.0,2407,20.118751127285044,0.16285832987120896,0.2552083333333333,0.19883337560233325,392,2015,1144
T-2,SMAP,2855,8625,8625,True,1,1,1.0,2454,21.256283441096926,0.19030154849225753,0.261624649859944,0.22033498466619486,467,1987,1318
D-8,SMAP,2602,7874,7874,True,1,1,1.0,1,1349000000.0,1.0,0.0196078431372549,0.038461538461538464,1,0,50
D-9,SMAP,2583,7406,7406,True,1,1,1.0,914,1349000000.0,1.0,0.7906574394463668,0.8830917874396136,914,0,242
F-2,SMAP,2861,8626,8626,True,1,1,1.0,2629,106.08718793595035,0.7166222898440472,0.6371322286100778,0.6745435016111708,1884,745,1073
G-4,SMAP,2551,7632,7632,True,1,1,1.0,1941,1349000000.0,0.0030911901081916537,0.1935483870967742,0.006085192697768763,6,1935,25
T-3,SMAP,2876,8579,8579,True,2,2,1.0,2,93.44703234773075,1.0,0.010869565217391304,0.02150537634408602,2,0,182
D-11,SMAP,2611,7431,7431,True,1,0,0.0,0,2.6979999999999964,0.0,0.0,0.0,0,0,61
D-12,SMAP,312,7918,7918,True,1,1,1.0,2578,1349000000.0,1.0,0.9408759124087591,0.9695374200827379,2578,0,162
B-1,SMAP,2435,8044,8044,True,1,1,1.0,2967,1349000000.0,0.01820020222446916,0.7605633802816901,0.03554970375246873,54,2913,17
G-6,SMAP,2881,8640,8640,True,1,0,0.0,0,1.3485572598437936,0.0,0.0,0.0,0,0,101
G-7,SMAP,2446,8029,8029,True,3,3,1.0,155,1349000000.0,0.632258064516129,0.3656716417910448,0.4633569739952719,98,57,170
P-7,SMAP,2853,8071,8071,True,1,0,0.0,1,3.6423395446549103,0.0,0.0,0.0,0,1,1651
R-1,SMAP,2874,7244,7244,True,1,1,1.0,7244,1348325500.0,0.011181667586968525,1.0,0.0221160409556314,81,7163,0
A-5,SMAP,705,4693,4693,True,1,1,1.0,4693,41812.92950000924,0.010867249094395908,1.0,0.021500843170320402,51,4642,0
A-6,SMAP,682,4453,4453,True,1,1,1.0,4453,1269647058.8235247,0.009207275993712105,1.0,0.018246550956831333,41,4412,0
A-7,SMAP,2879,8631,8631,True,1,0,0.0,0,2.7007424870187364,0.0,0.0,0.0,0,0,2401
D-13,SMAP,1490,7663,7663,True,1,1,1.0,2571,1349000000.0,0.054064566316608324,0.8633540372670807,0.10175695461200586,139,2432,22
P-2,SMAP,2821,8209,8209,True,1,1,1.0,626,59.35659268335563,0.8674121405750799,0.48438893844781444,0.6216370921579851,543,83,578
A-8,SMAP,762,8375,8375,True,1,1,1.0,8039,11991.928248832322,0.43164572708048266,0.9117183394640042,0.585901224145209,3470,4569,336
A-9,SMAP,762,8434,8434,True,1,1,1.0,8405,130.00784645156972,0.4598453301606187,1.0,0.6299918500407498,3865,4540,0
F-3,SMAP,2880,8376,8376,True,1,0,0.0,0,1.3480479226213218,0.0,0.0,0.0,0,0,41
M-6,MSL,1565,2049,2049,True,1,1,1.0,1039,174768418918.91708,0.17420596727622714,1.0,0.29672131147540987,181,858,0
M-1,MSL,2209,2277,2277,True,1,1,1.0,461,5.132153988868269,0.05856832971800434,0.02366345311130587,0.033707865168539325,27,434,1114
M-2,MSL,2208,2277,2277,True,1,1,1.0,935,9.895124541617687,0.774331550802139,0.6345311130587205,0.697495183044316,724,211,417
S-2,MSL,926,1827,1827,True,1,1,1.0,3,1349000000.0,1.0,0.2727272727272727,0.42857142857142855,3,0,8
P-10,MSL,4308,6100,6100,True,1,1,1.0,1485,1587.3233333324524,0.07003367003367003,0.7938931297709924,0.12871287128712872,104,1381,27
T-4,MSL,2272,2217,2217,True,1,1,1.0,937,1349000000.0,0.02454642475987193,0.3333333333333333,0.045725646123260424,23,914,46
T-5,MSL,2272,2218,2218,True,1,1,1.0,5,1349000000.0,1.0,0.19230769230769232,0.32258064516129037,5,0,21
F-7,MSL,2511,5054,5054,True,3,3,1.0,1219,17.874250000000007,0.17883511074651354,0.5153664302600472,0.26552984165651644,218,1001,205
M-3,MSL,2037,2127,2127,True,1,1,1.0,1165,66438.58725014095,0.1742489270386266,0.8087649402390438,0.2867231638418079,203,962,48
M-4,MSL,2076,2038,2038,True,1,1,1.0,1074,71829.02262488173,0.2132216014897579,0.9123505976095617,0.34566037735849053,229,845,22
M-5,MSL,2032,2303,2303,True,1,1,1.0,1007,24.245277822257794,0.2214498510427011,0.7408637873754153,0.3409785932721713,223,784,78
P-15,MSL,3682,2856,2856,True,1,1,1.0,1580,50.696144295301885,0.008860759493670886,0.6666666666666666,0.017489069331667707,14,1566,7
C-1,MSL,2158,2264,2264,True,2,1,0.5,228,7.54213636363636,0.21929824561403508,0.16025641025641027,0.18518518518518517,50,178,262
C-2,MSL,764,2051,2051,True,2,2,1.0,1583,1348999999.9999998,0.08022741629816804,0.927007299270073,0.14767441860465116,127,1456,10
T-12,MSL,1145,2430,2430,True,1,0,0.0,0,2.9275202329859,0.0,0.0,0.0,0,0,121
T-13,MSL,1145,2430,2430,True,2,0,0.0,0,2.6786805030145717,0.0,0.0,0.0,0,0,252
F-4,MSL,2244,3422,3422,True,1,1,1.0,428,6.527183175033922,0.11448598130841121,0.6901408450704225,0.1963927855711423,49,379,22
F-5,MSL,2598,3922,3922,True,1,1,1.0,731,28.638394542772886,0.11627906976744186,0.5629139072847682,0.1927437641723356,85,646,66
D-14,MSL,3675,2625,2625,True,2,2,1.0,186,1349000000.0,1.0,0.8378378378378378,0.911764705882353,186,0,36
T-9,MSL,439,1096,1096,True,2,2,1.0,1096,899336376.1383077,0.10218978102189781,1.0,0.18543046357615892,112,984,0
P-14,MSL,2880,6100,6100,True,1,1,1.0,6100,24275.9294999865,0.029672131147540984,1.0,0.05763413469192804,181,5919,0
T-8,MSL,748,1519,1519,True,2,2,1.0,26,1362225490.1960783,0.23076923076923078,0.058823529411764705,0.09375,6,20,96
P-11,MSL,3969,3535,3535,True,2,2,1.0,308,24.224232207478806,0.41883116883116883,0.5657894736842105,0.4813432835820895,129,179,99
D-15,MSL,2074,2158,2158,True,1,1,1.0,295,18.768506451612865,0.33220338983050846,0.15288611544461778,0.20940170940170938,98,197,543
D-16,MSL,1451,2191,2191,True,1,1,1.0,1185,1349000000.0,0.41856540084388183,0.7619047619047619,0.5403050108932462,496,689,155
M-7,MSL,1587,2156,2156,True,1,1,1.0,2156,1348390508.3765564,0.046846011131725415,1.0,0.08949933540097474,101,2055,0
F-8,MSL,3342,2487,2487,True,1,1,1.0,633,1554282608.6956522,0.27330173775671407,0.3221601489757914,0.2957264957264958,173,460,364
