timestamp_utc,timestamp_epoch_s,system_cpu_percent,system_memory_used_bytes,system_memory_percent,ollama_rss_bytes,ollama_cpu_percent_normalized,gpu_utilization_percent,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_watts
2026-09-10T15:40:20.781776+00:00,1789054820.751073,57.6,27276333056,79.7,74735616,0.0,,,,
2026-09-10T15:40:21.331814+00:00,1789054821.2882128,55.6,27270680576,79.7,74735616,0.0,,,,
2026-09-10T15:40:21.892505+00:00,1789054821.835756,64.9,27299868672,79.8,74735616,0.0,,,,
2026-09-10T15:40:22.423657+00:00,1789054822.3976576,53.4,27299745792,79.8,74735616,0.0,,,,
2026-09-10T15:40:22.959253+00:00,1789054822.925913,56.6,27308568576,79.8,74735616,0.0,,,,
2026-09-10T15:40:23.511789+00:00,1789054823.4697893,64.1,27297394688,79.8,74735616,0.0,,,,
2026-09-10T15:40:24.063064+00:00,1789054824.0200613,54.4,27274657792,79.7,74735616,0.0,,,,
2026-09-10T15:40:24.593467+00:00,1789054824.567898,56.5,27277443072,79.7,74735616,0.0,,,,
2026-09-10T15:40:25.126257+00:00,1789054825.0951433,52.4,27271036928,79.7,74735616,0.0,,,,
2026-09-10T15:40:25.686534+00:00,1789054825.6385307,55.6,27278807040,79.7,74735616,0.0,,,,
2026-09-10T15:40:26.228823+00:00,1789054826.2028224,48.9,27275653120,79.7,74735616,0.0,,,,
2026-09-10T15:40:26.763996+00:00,1789054826.736751,50.6,27277918208,79.7,74735616,0.0,,,,
2026-09-10T15:40:27.323180+00:00,1789054827.266213,77.4,27313868800,79.8,74735616,0.0,,,,
2026-09-10T15:40:27.862274+00:00,1789054827.8271208,59.2,27303288832,79.8,74735616,0.23213855089663232,,,,
2026-09-10T15:40:28.405707+00:00,1789054828.3712718,58.1,27303407616,79.8,74735616,0.9571484174467523,,,,
2026-09-10T15:40:28.937863+00:00,1789054828.9177194,54.9,27314647040,79.8,74735616,0.2382814993991333,,,,
2026-09-10T15:40:29.496721+00:00,1789054829.4502876,60.0,27272269824,79.7,74735616,0.0,,,,
2026-09-10T15:40:30.052053+00:00,1789054830.0133002,52.4,27269623808,79.7,74735616,0.0,,,,
2026-09-10T15:40:30.585772+00:00,1789054830.5582516,50.6,27276783616,79.7,74735616,0.4778713259120943,,,,
2026-09-10T15:40:31.112882+00:00,1789054831.0898821,50.7,27270172672,79.7,74735616,0.0,,,,
2026-09-10T15:40:31.667862+00:00,1789054831.6251183,52.7,27277467648,79.7,74735616,0.0,,,,
2026-09-10T15:40:32.209839+00:00,1789054832.1728396,64.6,27300917248,79.8,74735616,0.0,,,,
2026-09-10T15:40:32.751695+00:00,1789054832.7246954,48.6,27306258432,79.8,74735616,0.0,,,,
2026-09-10T15:40:33.301823+00:00,1789054833.2560906,60.0,27301216256,79.8,74735616,0.24503106932342322,,,,
2026-09-10T15:40:33.846710+00:00,1789054833.8282187,37.6,27297095680,79.8,74747904,0.2275859951824112,,,,
